comment,label,rate
chất vải dày dặn ,NEU,3
thời gian giao hàng rất nhanh rất đáng tiền  cửa hàng  phục vụ rất tốt rất đáng tiền ,POS,5
hộp cầm chắc tay ,NEU,3
nhug giá rất mềm ,NEU,3
ios không sẵn ap như với android ,NEG,2
 cửa hàng  phục vụ rất tốt thời gian giao hàng rất nhanh ,POS,5
mua lúc sale  mà công nhận không phải sale là xấu đâu nha ,POS,4
chưa từng mua  s p nào trên  cửa hàng er mà   ngày mới nhận được  hàng  ,NEG,1
áo ẹp ,POS,5
vs hộp giày bị bẹp ,NEG,1
sim tuyệt vời không những dùng mạng rất ok mà còn  được  gọi nội mạng miễn phí mỗi tháng lại có  ngoại mạng  giá rẻ bất ngờ luôn ,POS,5
áo siêu đẹp tưởng đẹp thế nào ,NEG,1
giày dáng đẹp nhưng chất dễ chóc đóng gói sản phẩm rất đẹp và chắc chắn phù hợp với giá tiền ,NEU,3
quần đẹp  giao hàng rất nhanh  cám ơn  cửa hàng  nhé ,POS,5
chấm    để  cửa hàng  cố gắng tốt hơn nữa sao cho xứng đáng    nhé ,POS,4
thời gian giao hàng rất nhanh  cửa hàng  phục vụ rất tốt đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền chất lượng sản phẩm tuyệt vời ,POS,5
 sản phẩm   ok   chị chủ tư vấn nhiệt tình ,POS,5
 cửa hàng  không nhiệt tình chất lượng sản phẩm rất kém ,NEG,2
áo lên  dáng đẹp ai cũng khen  thích màu đen mà không có ,POS,4
chất lượng sản phải nói là rất rất tuyệt vời  positive  positive  positive  ,POS,5
nếu đi đám cưới có chụp hình e sẽ up   fedback   sau hi  positive  ,POS,4
mua hoá đơn ít còn  được  tặng quà nữa   ,POS,4
quá đẹp  ,POS,5
chất lượng sản phẩm tạm được rất mỏng ,NEU,3
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn  cửa hàng  phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh ,POS,5
 cửa hàng  phục vụ rất tốt thời gian giao hàng rất nhanh nhưng đăng ký hộp lock thì  cửa hàng  lại gửi túi vì mới lấy túi rồi ,NEU,3
tốc độ ngon đấy  h vinaphone  tốt nhất vn rồi ,POS,5
quá đẹp  quá xuất sắc  positive  positive  positive  ,POS,5
áo form rộng như hình  đẹp quá ,NEU,3
mọi người đừng ai mua của  cửa hàng  này kẻo bị mắc lừa như tôi ,NEG,1
 cửa hàng  phục vụ rất tốt ,POS,4
chất đẹp  giao hàng nhanh  tư vấn nhiệt tình  positive  positive  ,POS,5
chất lượng sản phẩm tuyệt vời ,POS,5
quần đẹp dạng thun giả  gì easn không pik giặt có bay màu không nhưng với giá này là quá tốt ,POS,4
 cửa hàng  phục vụ không rất nhiệt tình nhé ,POS,5
cái thì rộng cái thì mặc không vô ,NEG,2
hàng đẹp   chất lượng  đóng gói hơi sơ xài ,POS,4
giao hàng nhanh lưới ở chân váy không được dày dặn như hình tuy nhiên với giá  thì chất lượng như vậy chấp nhận  được  ,POS,4
vải cũng ổn nè  ,POS,4
chất lượng sản phẩm tạm được chất aó mỏng hơi nhão dáng cộc ,NEU,3
đóng gói sản phẩm rất đẹp và chắc chắn đáng đồng tiền thời gian giao hàng rất nhanh ,POS,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn ,POS,5
chất lượng sản phẩm tốt đóng gói sản phẩm chắc chắn thời gian giao hàng nhanh ,POS,4
 cửa hàng  không cho đổi hàng ,NEG,1
ko giống như trong hình mua màu vàng thì gửi màu nâu vừa xấu lại còn bẩn xem hàng mà thất vọng quá  negative  negative  negative  negative  negative  negative  negative  negative  negative  negative  negative  negative  negative  negative  negative  ,NEG,1
hàng ok mỗi tội đề  cỡ  không chuẩn vì giá rẻ nên mình không đổi hàng ,POS,4
c chất lượng sản phẩm tuyệt vời chị chủ  cửa hàng  rất nhiệt tình  tốt bụng  chất liệu thì thích khỏi phải chê ,POS,5
giao hàng nhanh  hàng giống hình  mặc rất ấm nhé  positive   positive  positive  positive  positive  ,POS,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn  cửa hàng  phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh positive  positive  ,POS,5
 cửa hàng  phục vụ tạm được ,NEU,3
chất lượng sản phẩm tuyệt vời  cửa hàng  phục vụ rất tốt thời gian giao hàng rất nhanh  hàng đẹp mà rẻ mn mua đi ,POS,5
áo không giống mẫu rất không đáng tiền ,NEG,1
áo màu rất đẹp  positive  ,POS,5
có đệm không khí cảm thấy khá êm ,POS,4
tuy nhiên chất lượng bị nhám ,NEG,2
làm ăn gì kì vậy  cửa hàng e   ,NEG,1
 sản phẩm  giống ảnh đóng gói sản phẩm rất đẹp và chắc chắn ,POS,4
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn   cửa hàng  đóng gói rất tốt ,POS,5
kiểu đẹp mà chất vải không ưng ,NEU,3
k đẹp như kì vọng ,NEG,2
đóng gói sản phẩm rất đẹp và chắc chắn  rất đáng tiền ,POS,5
chất đẹp lắm nhg mà mình mặc vừa zin ,POS,5
thất vọng ,NEG,1
giày đẹp   như hình   cho nên mình đặt thêm hai đôi ,POS,5
hàng giống y hình  chất vải đẹp  cảm ơn  cửa hàng  đã giao hàng nhanh nhận trước trung thu đi chơi  positive  ,POS,5
màu sắc đẹp chất vải nóng ,NEU,3
hình ảnh rõ ràng nhưng  số tấm chữ bị lem màu và giấy hơi mỏng  bé nắm và ngậm vào miệng  tí là rách nát  bé chưa có răng  ,NEG,2
 cửa hàng  phục vụ rất tốt ,POS,5
mua cùng combo quần  được  tặng bộ đĩa thần đồng trong nôi nhưng vẫn chưa nhận  được  quà tặng   cửa hàng  nói sẽ nhận  được  sau  đăng ký mail nhưng đến nay gần  ngày rồi vẫn không nhận  được  ,NEG,2
ncl ổn so với giá ,NEU,3
 cửa hàng  phục vụ tốt rất nhiệt tình ,POS,5
giao hàng nhanh  đóng gói  sản phẩm  đẹp ,POS,5
đóng gói sản phẩm rất đẹp và chắc chắn hơi cộc so voi chiều cao của mh ,POS,4
thời gian giao hàng chậm đóng gói sản phẩm rất đẹp và chắc chắn chất lượng  sản phẩm  ok ,NEU,3
chất hơi xấu  mầu hơi đậm so với ảnh ,NEG,2
đóng gói sản phẩm tạm được ,NEU,3
chất ok đóng gói sản phẩm rất đẹp và chắc chắn ,POS,4
đã mua hàng lần thứ  của  cửa hàng  ,POS,5
mọi người nên mua ,POS,5
áo vải đẹp ,POS,5
độ bám không cao   cửa hàng  cho mình cái túi thật sự không cho thảm vào  được  ,NEU,3
may dài  tý cho họ dễ mặc chứ may ngắn ntnay bỏ luôn uổng lắm ,NEG,2
ống tay áo hơi rộng ,NEG,2
chọn  cỡ  to quá nên chắc phải tháng sau mới mặc vừa positive ,POS,4
có màu khác nữa thì đẹp ,NEU,3
đầu tiên là cách phục vụ khách hàng  đánh giá       mình đặt  sản phẩm  về không ưng  cửa hàng  sẵn sàng cho đổi trả hàng  làm việc rất nhanh  positive  ,POS,5
áo bé tí  con nhà mình lớp  mặc vừa ,NEG,1
sai mẫu áo mỏng nhắn tin đổi trả không trả lời ,NEG,1
form quần mặc lên rất tôn dáng  vải co giãn thoải mái lắm nha ,POS,5
sản phẩm đúng mẫu như hình ,NEU,3
hàng đẹp cám ơn  cửa hàng  nhé ,NEU,3
đóng gói rất cẩn thận ,POS,5
chất lượng sản phẩm tuyệt vời hơi cứng ,POS,4
bộ này mình gì h thấy hơi rộng  vải cũng mỏng  ,NEG,2
hi vọng  cửa hàng   trả lời  tn sẽ đánh giá lại ,NEU,3
đầm bầu mà ôm quá ,NEG,1
có điều  cỡ  s to hơn bình thường nên mình mặc bị rộng tay và vai ,POS,4
áo trễ vai rất  tốt  ,POS,5
áo đẹp dày dặn lắm ạ ,POS,4
áo giao đúng mẫu  vải rất ok  cửa hàng  tư vấn rất nhiệt tình ,POS,4
vải cũng không đẹp ,NEG,2
rất đáng tiền  vải nằm thoải mái và êm da cực kì ,POS,5
rất đáng tiền  cửa hàng  phục vụ rất tốt chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh ,POS,5
trên cả mong đợi luôn  ,POS,5
áo đẹp ,POS,5
cũng tạm được ,NEU,3
lâu dài chất lượng pin có phải như   quả  ng cáo positive ,NEU,3
áo lên form đẹp ,POS,4
đóng gói cẩn thận ,POS,5
vải mỏng ,NEU,3
ship hàng thần tốc  positive ,POS,5
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời  sản phẩm  ok  cửa hàng  phục vụ tốt cám ơn  cửa hàng  nhiều ,POS,5
chất lượng sản phẩm tuyệt vời ,POS,5
 cửa hàng  phục vụ rất tốt giao hàng nhanh chóng ,POS,5
chất vải thì ok nhưng cổ áo quá cao nên khá khó mặc ,POS,4
mình đặt  kiểu này đâu phải  kiểu bạn giao ,NEG,1
rất thích cách xử lý của  cửa hàng  khi khách muốn đổi hàng ,POS,5
chất hơi rão nhưng cũng tạm tiền nào của đấy ,NEU,3
eo mk  nhưng mặc  cỡ  l vẫn rộng  cửa hàng  phục vụ rất tốt ,POS,4
dài qua rốn chút xíu ,NEU,3
 sản phẩm  tốt ,POS,4
áo không giống hình  ,NEG,2
cảm ơn  cửa hàng  ,POS,5
đóng gói sản phẩm chắc chắn  thời gian giao hàng nhanh ,POS,4
chất lượng sản phẩm tuyệt vời rất đáng tiền sẽ tiếp tục ủng hộ  cửa hàng  ,POS,5
chất vải đẹp  sờ mịn tay  form quần đẹp ,POS,5
chất vải nóng ,NEG,1
rất đẹp  positive  ,POS,5
chất lượng sản phẩm rất kém  áo bẩn ,NEG,1
đường may ẩu  với giá là  thì nói thật quá đắt positive ngoài chợ bán đầy có vài chục cái  positive  ,NEG,1
ahi  thích lắm cơ ,POS,5
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn  cửa hàng  phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh ,POS,5
thời gian giao hàng tạm được ,NEU,3
nhưng  cửa hàng  tư vấn nhiệt tình ,POS,4
phú hợp giá tiền ,POS,4
vải bi đổ long ,NEG,2
cô gái trong ảnh trắng bóc nhìn còn đẹp ,POS,4
chất mát  giá rẻ  chuẩn màu chuẩn form ,POS,5
hàng giao chậm  không có đóng gói mà quấn băng keo bên ngoài nên hàng bị dơ tai thỏ ,NEG,1
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn  cửa hàng  phục vụ rất tốt ,POS,5
đóng gói sản phẩm rất đẹp và chắc chắn  ,POS,4
mới thử bằng màn hình máy cây  thấy nhận hình luôn ,NEU,3
sản phẩm ok  riêng shiper giao hàng  ý thức thấp kém  nói chuyện với khách hàng giọng điệu đe nẹt và như  mẹ thiên hạ” ,POS,5
vải mỏng dính  tạm  được  so với giá ,NEU,3
áo đẹp dày dặn nhưng bị lỗi một chút ,NEG,2
 cửa hàng  làm ăn rất vớ vẩn  biết là gửi ngẫu nhiên nhưng đặt  mà  cửa hàng  gửi cho  giống nhau  mẫu cx không đẹp ,NEG,2
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn  cửa hàng  phục vụ rất tốt rất đáng tiền rất đáng tiền rất đáng tiền thời gian giao hàng rất nhanh chị bán hàng tư vấn rất nhiệt tình  positive  positive  ,POS,5
hàng đẹp lắm ,POS,5
áo đẹp lắm ạ  chất vải ok   logo và chữ in rất net và đẹp  ,POS,5
sản phẩm không đúng với giới tính ,NEG,2
mình mua quần lót kháng khuẩn co giãn  chiều và quần váy  vải rất mềm mượt  co giãn tốt nên mặc rất thoải mái ,POS,5
máy đẹp đóng gói cẩn than giao hàng nhanh nhung máy không dùng đuoc nut am luong to nhỏ nói chung chỉ có  lỗi nhỏ còn lại ok ạ ,NEG,2
nhìn như rẻ lau cái trắng thì form bé xíu   cái còn lại thì mn thấy rồi đó như  mớ rẻ lay chất lượng sản phẩm rất kém chất lượng sản phẩm rất kém đóng gói sản phẩm rất kém ,NEG,1
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh rất đáng tiền  cửa hàng  phục vụ rất tốt ,POS,5
bỉm cg  được  nhưng có mùi ngủi rât kho ch yêu  ,NEG,2
chất lượng sản phẩm tuyệt vời ,POS,5
áo y hình  vải siêu mịn  giá lại quá rẻ so với chất lượng  bạn chủ  cửa hàng  lại nhiệt tình tư vấn và trả lời tất cả câu hỏi của mình ,POS,4
không giống hình đăng ,NEG,1
balo đẹp đúng hình nhưng mùi da hơi khó ngửi ,NEG,2
đã nhận được hàng ,POS,4
hàng lỗi  ,NEG,1
các hạt còn lại ngon ,POS,5
áo  được  ,POS,4
mình đặt cỡ  giao  hàng  cỡ  ,NEU,3
quần không mặc được ,NEG,1
có dấu hiệu pin đã qua sữ dụng    ,NEG,1
sản phẩm tốt  ,POS,5
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời rất đáng tiền  cửa hàng  phục vụ rất tốt  cửa hàng  phục vụ rất tốt thời gian giao hàng rất nhanh ,POS,5
nên mua   ,POS,4
hàng giống hình  vải ok  thời gian giao hàng max nhanh  chủ  cửa hàng  nhiệt tình  d ,POS,5
mội tội em gầy quá nên eo hơi rộng phải đi bóp lại  chút  ,NEU,3
hãy tránh xa những ng bán hàng không có tâm ni ra đi ,NEG,1
vị ăn khá lạ so với những loại snack từng ăn ,NEU,3
cảm on  cửa hàng  ,POS,4
 cửa hàng  phục vụ rất tốt  đóng gói sản phẩm đẹp và chắc chắn ,POS,5
săn  được  deal  ok qua ,POS,5
gửi dư  tấm  gì  không  bình thường  ,NEG,2
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh có chút nhầm hàng cần chú ý hơn ,POS,5
mua rồi éo dám sử dụng ,NEG,1
áo kiểu không giống hình chút nào quá ngắn ,NEG,1
áo mỏng và còn sổ chỉ ,NEG,2
 cửa hàng  phục vụ rất tốt nhưng chất vải nóng thật ,NEG,2
mình đã mua đồ đôi của  cửa hàng  chụp hình cưới và rất ưng ý  mình đã mua ở đây lần  và lần nào cũng thích ,POS,5
vải đẹp  cực kỳ  thích  ,POS,5
chủ  cửa hàng  dễ thương  tư vấn nhiệt tình ,POS,5
tạm đuợc ,NEU,3
vẫn hài lòng như  lần trước ,POS,5
chất lượng sản phẩm tuyệt vời ,POS,5
giao hàng nhanh ,POS,5
mình  nặng  không mình đặt cỡ l mới vừa dài và bụng hơi kích chứ theo số  cửa hàng  cung cấp đặt cỡ mình sẽ bị chật và ngắn ,NEU,3
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn giày rất đẹp giá rẻ so với chất lượng giày còn bao gồm cả hộp và tất tặng kèm ,POS,5
bộ chấm bi hồng không giống mẫu trên hình  bộ màu xanh thì giống ,NEU,3
nhu trong hinh sao ban hang ki vay ,NEU,3
tks  cửa hàng  ,POS,5
mình mới chỉ mang được  tiếng đôfng hồ  ,NEG,2
sản phẩm không giống mô tả thời gian giao hàng rất nhanh ,POS,5
đóng gói cẩn thận chắc chắn tỉ mỉ  ,POS,4
áo y hình chất đẹp ạ  positive  positive  positive  ,POS,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn khi lấy hàng nên giặt  lần trước khi mặc vải sẽ mềm đẹp hơn ,POS,5
ghi kèm hộp mà chả có hộp làm méo hết giày negative  còn chất giày thì ok ,NEU,3
nt cho  cửa hàng  thì sh không tlời ,NEG,1
chất lượng sản phẩm tuyệt vời  cửa hàng  phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh  rất thích  cửa hàng   ủng hộ dài dài ,POS,5
hàng y hình ,POS,5
hợp với giá tiền  giày da mềm  nhưng đế cũng hơi mềm chút nên đi có cảm giác không chắc chắn ,POS,4
mình mua  túi và chất lượng khá ok ,POS,4
áo lưới mềm ,NEU,3
 cửa hàng  rất nhiệt tình và đáng yêu ạ positive  positive  positive  positive  positive  ,POS,5
 sản phẩm  len hơi mỏng ,NEU,3
nhưng  cỡ  tư vấn không chính xác mình mặc thử một chiếc hnay chật và bó đùi  lằn rất khó chịu nên không thể mặc lâu ,NEU,3
chất ok ,POS,5
giao hàng lỗi ,NEG,1
 sản phẩm  tốt  giá hạt dẻ  bé rất thích  tuy nhiên hơi nóng khi địu vào mùa hè ,POS,4
và tất cả các món khác của  cửa hàng  đều rất rất hài lòng  positive  ,POS,5
hang đep mà đơt trước áo da bò may tay meo hoá khach mới măt vô là súc lên môt khúc ,POS,5
giá cả hợp lý ,POS,4
sai độ dài ,NEG,1
sản phẩm y hình chất ren mịn chủ  cửa hàng  dễ thương ,POS,5
 cửa hàng  up hinh ít quá nhận hàng chỉ có vài cái ,POS,4
nói chung là tuyệt ,POS,4
chọn cỡ l  cửa hàng  gửi lẫn cả xl  dặn ở ghi chú không lấy màu vàng   cửa hàng  vẫn gửi màu vàng  chắc là gần tết nên bận nhớ nhớ quên quên chăng ,NEG,1
chất lượng sản phẩm tạm được hơi mỏng ,POS,4
sẽ ủng hộ  cửa hàng  dài dài ,POS,5
áo tay không dài lắm ,NEU,3
chất lượng sản phẩm kém   không  phai vai voan  không  nhu hinh ,NEG,1
rất đáng tiền thời gian giao hàng rất nhanh ,POS,4
 cửa hàng  phục vụ khá tốt ,POS,5
hic áo bị thiếu tận  cúc ,NEG,2
chất lượng sản phẩm tuyệt vời ,POS,4
chất lượng sản phẩm rất kém không giống trong hình ,NEG,1
ông chủ tận tâm   sản phẩm  ok có điều nên để kích thước thi nhung ng mập như minh dễ lựa chọn ,POS,4
chất lượng sản phẩm cũng tốt nhưng vải hơi mỏng ,NEU,3
lạp xưởng nạc nhiều vừa miệng rất ngon ,POS,5
vải khá mềm và mát ,POS,4
cám ơn  cửa hàng   positive  ,POS,5
bán hàng đẹp mà rẻ quá  lại còn kèm quà tặng nữa chớ ,POS,5
bù lại vải đẹp mát positive  ,POS,5
mềm đẹp nên tăng giá chút tặng luôn áo gối cho đỡ dơ màu trắng này dơ ,POS,4
chất vải chấp nhận được nhưng hơi ngắn ,NEU,3
hàng y hình  vải đẹp ,POS,4
đầm đẹp  chất vải ok ,POS,5
gui ma nhanh ,NEU,3
hàng thật giá đúng ,POS,5
chất liệu đi rất thoải mái chân  hình dáng lại đáng  yêu  nữa  cửa hàng  ah ,POS,5
mặc đẹp ,POS,4
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn  cửa hàng  phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh nhưng phom hơi to bạn nào đặt thì lùi lại   cỡ  nhé ,POS,5
mọi người hãy cân nhắc kỹ trước khi mua ,NEG,1
hơi thất vọng vì box không phải box vans  giày đẹp ,NEG,2
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh nhưng giao thiếu mình một bản dây trong  ,POS,5
form và chất liệu váy đẹp rất đáng tiền ,POS,4
cho  cửa hàng      ạ ,POS,5
vải đẹp lắm  cửa hàng   positive  ,POS,5
sản phẩm đẹp chất lượng ok  ,POS,5
chất lượng sản phẩm tuyệt vời  còn  được  tặng thêm tảo viên va bóp  nua   cám ơn  cửa hàng  nhé ,POS,5
tuy nhiên chất liệu có hơi mỏng  xíu ,NEG,2
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng phù hợp giá tiền ,POS,5
 cửa hàng  phục vụ rất tốt  cửa hàng  phục vụ rất tốt thời gian giao hàng rất nhanh ,POS,5
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời  cửa hàng  phục vụ rất tốt rất đáng tiền   phân loại đen ,POS,5
áo chất lượng sản phẩm tuyệt vời rất đáng tiền ,POS,5
san phẩm đóng gói kỹ ,POS,4
xinh quá xinh quá  chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền ,POS,5
không biết người giao hàng làm gì mà hộp méo mọ luôn ,NEG,1
chất lượng sản phẩm tuyệt vời  vải đẹp mát ,POS,5
đóng gói sản phẩm đẹp gọn gàng ,POS,4
hơi rộng n vải đẹp ,NEU,3
hàng đẹp giá tốt ,POS,5
phần số in trên áo chưa ổn lắm nhưng không ảnh hưởng  gì  cả  dù sao thì chất lượng sản phẩm rất tốt  rất đáng tiền ,POS,5
kha ưng ,POS,4
màu không chuẩn ,NEG,2
chất lượng sản phẩm rất kém chất lượng sản phẩm rất kém đóng gói sản phẩm rất kém  cửa hàng  phục vụ rất kém rất không đáng tiền thời gian giao hàng rất chậm ,NEG,1
thời gian giao hàng rất nhanh  chất lượng sản phẩm tuyệt vời  cửa hàng  phục vụ rất tốt ,POS,5
hàng không có  cỡ  mà  cửa hàng  dám nói có  cỡ    tìm mỏi mắt không thấy  cỡ  nó ở chỗ nào   cỡ  mình to như xl ,NEG,1
vỏ hộp thì sước hết ,NEG,2
form hơi to xíu phải đi bóp ống quằn những vẫn đánh giá    vì  cửa hàng  quá tuyệt vời  positive  positive  positive  ,POS,4
chất lượng sản phẩm tuyệt vời  chất len dầy dạn  nói chung rất ưng cái bụng ,POS,5
gây tiếng ồn khi hoạt động   do máy và nắp máy không khít va đập vào nhau khi motor chạy   ,NEG,1
áo hơi mỏng nhưng đẹp y hình ,POS,4
chất vải đẹp  form áo cũng đẹp ,POS,4
áo quá đẹp  positive  ,POS,5
 sản phẩm  ok ,NEU,3
chất vải ok   nhưng lại giao nhầm màu hu ,NEG,2
tạm da không khuyết điểm thì ok kiềm đầu ,NEU,3
nhưng nhận  được  hàng rồi thì thấy ok lắm thấy có niềm tin vào  cửa hàng  rồi ,POS,4
áo đen hơi nhỏ và ngắn so với đứa thích mặc rộng như mình  positive  positive  positive  ,NEU,3
nói lấy y hình ng mẫu mặc thì lại đưa màu khác   ,NEG,2
chất lượng sản phẩm kém ,NEG,1
trong tầm giá là quá tuyệt ,NEU,3
áo đẹp  form chuẩn xinh ,POS,5
chất lượng sản phẩm tuyệt vời nha ,POS,5
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời ,POS,5
hi ưng lắm ạ giày đẹp lắm nha mình n đi êm mà dễ phối đồ cực ,POS,5
 cửa hàng  rất có tâm ạ  positive  positive  positive  ,POS,4
giao hàng cực nhanh trong vòng  đồng hồ ,POS,5
áo vừa khít  chất đẹp ,POS,4
giao không đúng màu còn sai kích cỡ thất vọng ghê ,NEG,1
chất vải mịn đẹp ,POS,5
so tệ ,NEG,1
thời gian giao hàng rất nhanh  cửa hàng  phục vụ rất tốt chất lượng  sản phẩm  ok chim ưng lắm ạ ,POS,5
hai từ thôi ạ   siêu phẩm   ,POS,5
chất vải đẹp  ấm mùa đông  mát về mùa hè  đường may chắc chắn ,POS,5
nhanh chuẩn ,POS,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời  cửa hàng  phục vụ rất tốt  cửa hàng  phục vụ rất tốt rất đáng tiền đẹp lắm ạ ,POS,5
thời gian giao hàng rất nhanh  positive  positive  ,POS,5
nói chung siêu ưng ,POS,5
áo rất nhỏ hơi thất vọng vì mình đã nhắn báo số  không mà  cửa hàng  không nhiệt tình tư vấn ,NEG,1
mình cao     form người khá to vẫn mặc  được  nhé ,NEU,3
vừa ý ,NEU,3
nguoi ban co tam nhat quat đat ,POS,5
sẽ không bao giờ mua hàng trên  cửa hàng e nữa ,NEG,1
hàng không đẹp so với hình ảnh chất lượng sản phẩm tạm được ,POS,4
 cỡ  không như mô tả ,NEU,3
minh nhan duoc hang roi chất lượng sản phẩm tuyệt vời  ,POS,5
 sản phẩm  nào cũng rất tốt nha ,POS,5
hàng đẹp lắm ạ ,POS,5
mình tất ưng ý ,POS,5
vãi đẹp lắm ạ ,POS,4
đóng gói sản phẩm rất đẹp và chắc chắn  hàng không đẹp ,NEG,2
nhưng bị lỗi ở khoá cài nhưng thôi không đổi ,POS,4
sản phẩm chất lượng  positive  ,POS,5
ống quần xấu ,NEG,1
đáng đồng tiền bát gạo luôn ,POS,5
phuc vu tốt ,POS,5
chất lượng sản phẩm tuyệt vời ,POS,5
giao hàng nhanh   sản phẩm  đúng như qc thời gian giao hàng nhanh ,POS,5
thời gian giao hàng rất nhanh rất đáng tiền ,POS,5
đẹp lung linh ,POS,5
vô cùng hối hận  thật sự cảm thấy tiếc  tiếc vì không bik được  cửa hàng  sớm hơn  positive  ,POS,5
